category_id,current_rank,rank_change,brand,product_name,rating,review_count,price,update_date
2,8,+2,홀리카홀리카,마이페이브 무드 아이팔레트 [레터프롬스프링],4.67,412,"28,000원",2026.09.06
2,9,-3,팁토우,위시 터치 아이 팔레트,4.41,128,"29,000원",2026.09.06
2,10,-2,웨이크메이크,소프트 블러링 아이팔레트,4.40,1180,"34,000원",2026.09.06
2,11,-2,클리오,(왕실에디션) 뮤즈 마스터 팔레트,4.60,125,"27,000원",2026.09.06
2,12,+1,컬러그램,올인원 애교살 메이커,4.25,783,"9,800원",2026.09.06
2,13,-2,클리오,프로 아이 팔레트 에어,4.64,1337,"34,000원",2026.09.06
2,14,+2,롬앤,베러 댄 팔레트,4.37,1245,"30,000원",2026.09.06
2,15,-1,투쿨포스쿨,아트클래스 프로타주 펜슬,4.15,1937,"13,000원",2026.09.06
2,16,-1,홀리카홀리카,마이페이브 피스 섀도우 [쉬머],4.68,632,"6,000원",2026.09.06
2,17,+2,이글립스,소프트 아이 팔레트,4.43,81,"26,000원",2026.09.06
2,18,+3,리스키 뷰티,피그먼트 아이섀도우 팔레트,4.62,81,"36,000원",2026.09.06
2,19,-2,롬앤,슬라이드 인 싱글 [매트],4.19,188,"7,000원",2026.09.06
2,20,-,캔메이크,플럼푸크 코디네이트 아이즈,4.44,140,"14,000원",2026.09.06
3,1,-,웨이크메이크,볼드 립 블러 틴트,4.46,66,"16,000원",2026.09.06
3,2,-,투크,윗아웃 미러 립 틴트,4.38,253,"19,000원",2026.09.06
3,3,+2,투크,볼륨 글레이즈 시럽 틴트,4.52,116,"16,000원",2026.09.06
3,4,-1,누그레이,듀이티 스테인 틴트,4.55,85,"16,000원",2026.09.06
3,5,-1,퓌,3D 볼류밍 틴트,4.40,260,"18,000원",2026.09.06
3,6,+5,얼터너티브스테레오,립 포션 카라멜 글레이즈,4.52,529,"19,000원",2026.09.06
3,7,-1,뮤드,엔젤 허그 글레이즈,4.55,58,"17,000원",2026.09.06
3,8,+2,힌스,누 블러 틴트,4.55,429,"17,000원",2026.09.06
3,9,-2,힌스,미러 듀 글로스,4.55,170,"17,000원",2026.09.06
3,10,-2,얼터너티브스테레오,(망그러진 곰 콜라보) 립 포션 카라멜 글레이즈,4.52,223,"19,000원",2026.09.06
3,11,-2,컬러그램,탕후루 탱글 틴트 밀크,4.43,228,"10,000원",2026.09.06
3,12,+2,브레이,씬 글로우틴트,4.27,170,"17,000원",2026.09.06
3,13,-1,페리페라,무드 글로이 틴트,4.21,342,"13,000원",2026.09.06
3,14,-1,하트퍼센트,도트 온 무드 원 웨이 글로이 틴트,4.48,341,"18,000원",2026.09.06
3,15,+1,클리오,크리스탈 글램 틴트,4.45,1508,"18,000원",2026.09.06
3,16,-1,네이밍,오버 듀 글로시 립 틴트,4.11,97,"17,000원",2026.09.06
3,17,+2,토니모리,퍼펙트 립스 쇼킹립,4.35,914,"15,000원",2026.09.06
3,18,-1,힌스,로 글로우 젤 틴트,4.44,1649,"17,000원",2026.09.06
3,19,+1,딘토,블러글로이 립 틴트,4.37,1183,"20,000원",2026.09.06
3,20,+1,삐아,오버 글레이즈,4.47,808,"16,000원",2026.09.06
